f_ghz,gain_imb_db,phase_imb_deg,cm_leak_dbc
4.897788189999999764e-01,0.000000000000000000e+00,-2.380000125867809402e-07,-2.985998239399999648e+02
5.011872339999999815e-01,0.000000000000000000e+00,-1.342999951248202706e-07,-2.965481458300000099e+02
5.128613840000000312e-01,0.000000000000000000e+00,4.287000194835854927e-07,-3.021152688899999816e+02
5.248074600000000034e-01,0.000000000000000000e+00,3.382999977930012392e-07,-2.970180928099999846e+02
5.370317959999999502e-01,0.000000000000000000e+00,-4.644900002404028783e-07,-2.970185292500000287e+02
5.495408739999999570e-01,0.000000000000000000e+00,1.940000515787687618e-08,-2.952765018299999724e+02
5.623413250000000030e-01,0.000000000000000000e+00,-1.486000087425054517e-07,-2.931824131800000259e+02
5.754399369999999569e-01,0.000000000000000000e+00,1.602000168077211129e-07,-2.965499708400000145e+02
5.888436550000000214e-01,0.000000000000000000e+00,1.470000086101208581e-07,-2.980422733800000401e+02
6.025595860000000359e-01,0.000000000000000000e+00,9.000001455206074752e-08,-2.980422292999999740e+02
6.165950019999999476e-01,0.000000000000000000e+00,3.520000007029011613e-07,-2.980425490999999738e+02
6.309573440000000311e-01,0.000000000000000000e+00,3.830000139259936986e-07,-2.998455532400000152e+02
6.456542290000000239e-01,0.000000000000000000e+00,-2.710000046590721468e-07,-2.970205061700000329e+02
6.606934479999999610e-01,0.000000000000000000e+00,3.799999603870674036e-08,-2.952779493099999968e+02
6.760829750000000304e-01,0.000000000000000000e+00,6.400000529538374394e-08,-2.956823660499999846e+02
6.918309710000000168e-01,0.000000000000000000e+00,-3.240000125970254885e-07,-2.928797997799999848e+02
7.079457839999999669e-01,0.000000000000000000e+00,-1.360000112526904559e-07,-2.948925618400000417e+02
7.244359599999999899e-01,0.000000000000000000e+00,-2.519999782180093462e-07,-2.956824455799999782e+02
7.413102409999999809e-01,0.000000000000000000e+00,-4.180000132691930048e-07,-2.965519853100000205e+02
7.585775750000000039e-01,0.000000000000000000e+00,-2.369999947404721752e-07,-2.970216563200000337e+02
7.762471170000000420e-01,0.000000000000000000e+00,-1.619999920876580290e-07,-2.980438809099999844e+02
7.943282350000000491e-01,0.000000000000000000e+00,-4.869999941092828522e-07,-3.021243483299999752e+02
8.128305160000000029e-01,0.000000000000000000e+00,-3.379999782282538945e-07,-2.986043778199999679e+02
8.317637709999999851e-01,0.000000000000000000e+00,3.309999954126396915e-07,-2.986050296200000389e+02
8.511380379999999857e-01,0.000000000000000000e+00,-2.520000066397187766e-07,-3.012975589400000445e+02
8.709635900000000097e-01,0.000000000000000000e+00,3.359999993790552253e-07,-3.005419249800000330e+02
