f_ghz,s21_msb_db,s21_lsb_db,s11_msb_db,s11_lsb_db,s22_db
1.905460719999999997e+00,8.916003910000000587e+00,2.947182220000000186e+00,-2.983807099999999934e+01,-3.375823110000000327e+01,-3.522422519999999935e+01
1.949844600000000039e+00,8.915770330000000854e+00,2.947055690000000006e+00,-2.972797569999999823e+01,-3.368027980000000099e+01,-3.504393999999999920e+01
1.995262309999999983e+00,8.915523560000000458e+00,2.946920979999999801e+00,-2.961561719999999909e+01,-3.360013070000000113e+01,-3.486286570000000040e+01
2.041737939999999973e+00,8.915263080000000784e+00,2.946777819999999881e+00,-2.950100899999999982e+01,-3.351776379999999733e+01,-3.468103159999999718e+01
2.089296130000000140e+00,8.914988349999999784e+00,2.946625909999999848e+00,-2.938416670000000153e+01,-3.343316120000000069e+01,-3.449846670000000159e+01
2.137962089999999815e+00,8.914698800000000034e+00,2.946464939999999810e+00,-2.926510839999999902e+01,-3.334630709999999709e+01,-3.431519879999999745e+01
2.187761619999999851e+00,8.914393829999999852e+00,2.946294570000000057e+00,-2.914385389999999987e+01,-3.325718810000000047e+01,-3.413125509999999707e+01
2.238721139999999998e+00,8.914072790000000523e+00,2.946114450000000051e+00,-2.902042559999999938e+01,-3.316579310000000191e+01,-3.394666219999999868e+01
2.290867650000000033e+00,8.913735029999999782e+00,2.945924220000000204e+00,-2.889484739999999974e+01,-3.307211319999999688e+01,-3.376144539999999949e+01
2.344228820000000102e+00,8.913379850000000104e+00,2.945723479999999839e+00,-2.876714529999999925e+01,-3.297614200000000295e+01,-3.357562980000000152e+01
2.398832919999999813e+00,8.913006490000000781e+00,2.945511820000000114e+00,-2.863734729999999828e+01,-3.287787560000000298e+01,-3.338923929999999984e+01
2.454708919999999850e+00,8.912614200000000153e+00,2.945288820000000030e+00,-2.850548279999999934e+01,-3.277731250000000074e+01,-3.320229739999999907e+01
2.511886430000000114e+00,8.912202150000000600e+00,2.945053999999999839e+00,-2.837158289999999994e+01,-3.267445349999999848e+01,-3.301482649999999808e+01
2.570395780000000130e+00,8.911769500000000122e+00,2.944806890000000177e+00,-2.823568020000000089e+01,-3.256930200000000042e+01,-3.282684859999999816e+01
2.630267990000000111e+00,8.911315339999999807e+00,2.944546990000000086e+00,-2.809780870000000164e+01,-3.246186389999999733e+01,-3.263838489999999837e+01
2.691534799999999894e+00,8.910838740000000868e+00,2.944273770000000123e+00,-2.795800350000000023e+01,-3.235214729999999861e+01,-3.244945580000000263e+01
2.754228700000000085e+00,8.910338709999999551e+00,2.943986670000000139e+00,-2.781630110000000045e+01,-3.224016290000000140e+01,-3.226008099999999956e+01
2.818382929999999842e+00,8.909814230000000279e+00,2.943685100000000165e+00,-2.767273889999999881e+01,-3.212592360000000014e+01,-3.207027980000000156e+01
2.884031499999999859e+00,8.909264209999999906e+00,2.943368459999999853e+00,-2.752735510000000119e+01,-3.200944460000000191e+01,-3.188007049999999865e+01
2.951209229999999906e+00,8.908687510000000032e+00,2.943036109999999983e+00,-2.738018900000000144e+01,-3.189074330000000046e+01,-3.168947109999999867e+01
3.019951719999999895e+00,8.908082959999999773e+00,2.942687359999999863e+00,-2.723128030000000166e+01,-3.176983949999999979e+01,-3.149849880000000013e+01
3.090295429999999843e+00,8.907449310000000509e+00,2.942321520000000135e+00,-2.708066960000000023e+01,-3.164675469999999891e+01,-3.130717010000000045e+01
3.162277659999999990e+00,8.906785270000000310e+00,2.941937859999999905e+00,-2.692839770000000144e+01,-3.152151260000000121e+01,-3.111550129999999825e+01
3.235936569999999790e+00,8.906089460000000457e+00,2.941535589999999978e+00,-2.677450590000000119e+01,-3.139413880000000034e+01,-3.092350760000000065e+01
3.311311209999999949e+00,8.905360469999999751e+00,2.941113899999999948e+00,-2.661903590000000008e+01,-3.126466080000000147e+01,-3.073120420000000053e+01
3.388441559999999964e+00,8.904596809999999252e+00,2.940671969999999913e+00,-2.646202949999999987e+01,-3.113310759999999888e+01,-3.053860549999999918e+01
3.467368500000000076e+00,8.903796919999999560e+00,2.940208890000000075e+00,-2.630352849999999876e+01,-3.099950989999999962e+01,-3.034572530000000157e+01
3.548133889999999901e+00,8.902959170000000810e+00,2.939723750000000191e+00,-2.614357490000000084e+01,-3.086389989999999983e+01,-3.015257700000000085e+01
3.630780549999999884e+00,8.902081850000000074e+00,2.939215579999999939e+00,-2.598221059999999838e+01,-3.072631129999999899e+01,-2.995917370000000091e+01
3.715352289999999780e+00,8.901163179999999286e+00,2.938683370000000128e+00,-2.581947720000000146e+01,-3.058677889999999877e+01,-2.976552769999999981e+01
3.801893960000000128e+00,8.900201309999999921e+00,2.938126070000000034e+00,-2.565541640000000001e+01,-3.044533870000000064e+01,-2.957165110000000041e+01
3.890451450000000033e+00,8.899194270000000628e+00,2.937542559999999803e+00,-2.549006939999999943e+01,-3.030202780000000118e+01,-2.937755560000000088e+01
3.981071710000000152e+00,8.898140039999999473e+00,2.936931710000000084e+00,-2.532347710000000163e+01,-3.015688409999999919e+01,-2.918325219999999831e+01
4.073802780000000290e+00,8.897036489999999631e+00,2.936292299999999855e+00,-2.515568010000000143e+01,-3.000994670000000042e+01,-2.898875190000000046e+01
