f_ghz,s21_msb_db,s21_lsb_db,s11_msb_db,s11_lsb_db,s22_db
4.466835920000000182e-01,8.238117559999999173e+00,2.262800509999999932e+00,-3.813299529999999748e+01,-4.344380509999999873e+01,-3.097794629999999927e+01
4.570881900000000053e-01,8.238502889999999468e+00,2.263194579999999956e+00,-3.810181860000000142e+01,-4.341412859999999796e+01,-3.097594660000000033e+01
4.677351410000000209e-01,8.238870090000000701e+00,2.263570559999999787e+00,-3.806946010000000058e+01,-4.338331610000000182e+01,-3.097386450000000124e+01
4.786300920000000070e-01,8.239219900000000152e+00,2.263929220000000075e+00,-3.803587979999999646e+01,-4.335132860000000221e+01,-3.097169570000000149e+01
4.897788189999999764e-01,8.239553049999999601e+00,2.264271299999999876e+00,-3.800103750000000247e+01,-4.331812630000000297e+01,-3.096943590000000057e+01
5.011872339999999815e-01,8.239870209999999418e+00,2.264597499999999819e+00,-3.796489230000000248e+01,-4.328366909999999734e+01,-3.096708029999999923e+01
5.128613840000000312e-01,8.240172049999999970e+00,2.264908500000000213e+00,-3.792740330000000171e+01,-4.324791660000000348e+01,-3.096462410000000176e+01
5.248074600000000034e-01,8.240459180000000217e+00,2.265204929999999894e+00,-3.788852909999999952e+01,-4.321082789999999818e+01,-3.096206240000000065e+01
5.370317959999999502e-01,8.240732189999999235e+00,2.265487409999999979e+00,-3.784822830000000238e+01,-4.317236179999999734e+01,-3.095938990000000146e+01
5.495408739999999570e-01,8.240991649999999780e+00,2.265756520000000052e+00,-3.780645909999999787e+01,-4.313247700000000151e+01,-3.095660120000000148e+01
5.623413250000000030e-01,8.241238100000000344e+00,2.266012809999999877e+00,-3.776317989999999725e+01,-4.309113190000000060e+01,-3.095369069999999923e+01
5.754399369999999569e-01,8.241472039999999666e+00,2.266256830000000111e+00,-3.771834909999999752e+01,-4.304828499999999991e+01,-3.095065230000000156e+01
5.888436550000000214e-01,8.241693970000000036e+00,2.266489060000000055e+00,-3.767192510000000283e+01,-4.300389460000000241e+01,-3.094747999999999877e+01
6.025595860000000359e-01,8.241904330000000556e+00,2.266709999999999781e+00,-3.762386649999999833e+01,-4.295791930000000036e+01,-3.094416730000000015e+01
6.165950019999999476e-01,8.242103569999999380e+00,2.266920110000000044e+00,-3.757413240000000343e+01,-4.291031780000000140e+01,-3.094070759999999964e+01
6.309573440000000311e-01,8.242292100000000232e+00,2.267119810000000069e+00,-3.752268209999999726e+01,-4.286104890000000012e+01,-3.093709390000000070e+01
6.456542290000000239e-01,8.242470309999999856e+00,2.267309539999999846e+00,-3.746947550000000149e+01,-4.281007220000000046e+01,-3.093331900000000090e+01
6.606934479999999610e-01,8.242638570000000442e+00,2.267489669999999791e+00,-3.741447320000000332e+01,-4.275734729999999928e+01,-3.092937519999999907e+01
6.760829750000000304e-01,8.242797239999999803e+00,2.267660590000000198e+00,-3.735763630000000290e+01,-4.270283460000000275e+01,-3.092525480000000115e+01
6.918309710000000168e-01,8.242946639999999547e+00,2.267822649999999829e+00,-3.729892699999999905e+01,-4.264649529999999800e+01,-3.092094940000000136e+01
7.079457839999999669e-01,8.243087080000000455e+00,2.267976200000000109e+00,-3.723830819999999875e+01,-4.258829130000000163e+01,-3.091645060000000100e+01
7.244359599999999899e-01,8.243218869999999754e+00,2.268121550000000042e+00,-3.717574390000000051e+01,-4.252818520000000291e+01,-3.091174949999999910e+01
7.413102409999999809e-01,8.243342260000000365e+00,2.268259000000000025e+00,-3.711119959999999907e+01,-4.246614110000000153e+01,-3.090683669999999950e+01
7.585775750000000039e-01,8.243457530000000588e+00,2.268388840000000073e+00,-3.704464149999999734e+01,-4.240212369999999709e+01,-3.090170260000000013e+01
7.762471170000000420e-01,8.243564909999999912e+00,2.268511349999999815e+00,-3.697603780000000029e+01,-4.233609940000000194e+01,-3.089633710000000022e+01
7.943282350000000491e-01,8.243664620000000554e+00,2.268626789999999893e+00,-3.690535770000000326e+01,-4.226803569999999866e+01,-3.089072979999999902e+01
8.128305160000000029e-01,8.243756879999999398e+00,2.268735379999999857e+00,-3.683257239999999655e+01,-4.219790160000000157e+01,-3.088486980000000059e+01
8.317637709999999851e-01,8.243841879999999733e+00,2.268837360000000025e+00,-3.675765470000000334e+01,-4.212566790000000339e+01,-3.087874559999999846e+01
8.511380379999999857e-01,8.243919789999999637e+00,2.268932949999999948e+00,-3.668057900000000160e+01,-4.205130690000000016e+01,-3.087234550000000155e+01
8.709635900000000097e-01,8.243990780000000740e+00,2.269022350000000188e+00,-3.660132200000000324e+01,-4.197479260000000068e+01,-3.086565729999999874e+01
8.912509379999999926e-01,8.244054990000000416e+00,2.269105730000000154e+00,-3.651986200000000338e+01,-4.189610110000000276e+01,-3.085866800000000154e+01
9.120108390000000176e-01,8.244112570000000417e+00,2.269183289999999964e+00,-3.643617979999999790e+01,-4.181521039999999800e+01,-3.085136440000000135e+01
9.332543009999999528e-01,8.244163629999999188e+00,2.269255170000000099e+00,-3.635025799999999663e+01,-4.173210060000000254e+01,-3.084373270000000034e+01
9.549925860000000322e-01,8.244208280000000499e+00,2.269321539999999970e+00,-3.626208179999999714e+01,-4.164675379999999905e+01,-3.083575850000000074e+01
