f_ghz,s21_msb_db,s21_lsb_db,s11_msb_db,s11_lsb_db,s22_db
1.778279409999999894e+00,8.203420030000000196e+00,2.232237459999999896e+00,-3.071415430000000057e+01,-3.422746810000000295e+01,-2.715393740000000022e+01
1.819700859999999976e+00,8.203278230000000448e+00,2.232171440000000118e+00,-3.062735149999999962e+01,-3.417224259999999703e+01,-2.714173849999999888e+01
1.862087140000000085e+00,8.203127220000000719e+00,2.232099740000000221e+00,-3.053828629999999933e+01,-3.411515980000000070e+01,-2.712900319999999965e+01
1.905460719999999997e+00,8.202966679999999400e+00,2.232022220000000168e+00,-3.044694760000000144e+01,-3.405618290000000314e+01,-2.711570940000000007e+01
1.949844600000000039e+00,8.202796270000000334e+00,2.231938720000000043e+00,-3.035332670000000022e+01,-3.399527580000000171e+01,-2.710183470000000128e+01
1.995262309999999983e+00,8.202615650000000258e+00,2.231849079999999930e+00,-3.025741719999999901e+01,-3.393240339999999833e+01,-2.708735550000000103e+01
2.041737939999999973e+00,8.202424439999999706e+00,2.231753090000000217e+00,-3.015921510000000083e+01,-3.386753199999999708e+01,-2.707224779999999953e+01
2.089296130000000140e+00,8.202222239999999331e+00,2.231650580000000161e+00,-3.005871910000000113e+01,-3.380062900000000070e+01,-2.705648670000000067e+01
2.137962089999999815e+00,8.202008629999999911e+00,2.231541340000000151e+00,-2.995593009999999978e+01,-3.373166340000000218e+01,-2.704004640000000137e+01
2.187761619999999851e+00,8.201783159999999739e+00,2.231425129999999868e+00,-2.985085159999999860e+01,-3.366060569999999785e+01,-2.702290049999999866e+01
2.238721139999999998e+00,8.201545380000000662e+00,2.231301719999999822e+00,-2.974348930000000024e+01,-3.358742790000000156e+01,-2.700502189999999914e+01
2.290867650000000033e+00,8.201294779999999562e+00,2.231170870000000139e+00,-2.963385179999999863e+01,-3.351210379999999844e+01,-2.698638229999999893e+01
2.344228820000000102e+00,8.201030859999999478e+00,2.231032299999999857e+00,-2.952194950000000162e+01,-3.343460910000000297e+01,-2.696695310000000134e+01
2.398832919999999813e+00,8.200753060000000261e+00,2.230885740000000173e+00,-2.940779560000000004e+01,-3.335492130000000088e+01,-2.694670470000000151e+01
2.454708919999999850e+00,8.200460809999999157e+00,2.230730889999999800e+00,-2.929140539999999859e+01,-3.327302019999999771e+01,-2.692560669999999945e+01
2.511886430000000114e+00,8.200153509999999812e+00,2.230567440000000179e+00,-2.917279650000000046e+01,-3.318888729999999754e+01,-2.690362790000000004e+01
2.570395780000000130e+00,8.199830520000000789e+00,2.230395049999999824e+00,-2.905198850000000022e+01,-3.310250659999999812e+01,-2.688073650000000114e+01
2.630267990000000111e+00,8.199491180000000767e+00,2.230213379999999912e+00,-2.892900339999999915e+01,-3.301386420000000044e+01,-2.685689980000000077e+01
2.691534799999999894e+00,8.199134799999999501e+00,2.230022069999999967e+00,-2.880386490000000066e+01,-3.292294849999999684e+01,-2.683208460000000173e+01
2.754228700000000085e+00,8.198760639999999711e+00,2.229820720000000200e+00,-2.867659869999999955e+01,-3.282975030000000061e+01,-2.680625669999999872e+01
2.818382929999999842e+00,8.198367929999999859e+00,2.229608949999999812e+00,-2.854723249999999979e+01,-3.273426289999999739e+01,-2.677938139999999834e+01
2.884031499999999859e+00,8.197955869999999479e+00,2.229386310000000204e+00,-2.841579540000000037e+01,-3.263648179999999854e+01,-2.675142340000000019e+01
2.951209229999999906e+00,8.197523609999999294e+00,2.229152379999999933e+00,-2.828231849999999881e+01,-3.253640500000000202e+01,-2.672234660000000162e+01
3.019951719999999895e+00,8.197070280000000153e+00,2.228906680000000140e+00,-2.814683399999999835e+01,-3.243403299999999945e+01,-2.669211449999999886e+01
3.090295429999999843e+00,8.196594940000000662e+00,2.228648730000000189e+00,-2.800937580000000082e+01,-3.232936889999999863e+01,-2.666068999999999889e+01
3.162277659999999990e+00,8.196096640000000377e+00,2.228378010000000131e+00,-2.786997900000000072e+01,-3.222241790000000350e+01,-2.662803549999999930e+01
3.235936569999999790e+00,8.195574349999999342e+00,2.228094000000000019e+00,-2.772867979999999832e+01,-3.211318789999999979e+01,-2.659411300000000011e+01
3.311311209999999949e+00,8.195027019999999496e+00,2.227796119999999824e+00,-2.758551560000000080e+01,-3.200168920000000128e+01,-2.655888399999999905e+01
3.388441559999999964e+00,8.194453530000000541e+00,2.227483799999999903e+00,-2.744052459999999982e+01,-3.188793420000000012e+01,-2.652230989999999977e+01
3.467368500000000076e+00,8.193852729999999696e+00,2.227156420000000026e+00,-2.729374590000000111e+01,-3.177193769999999873e+01,-2.648435149999999894e+01
3.548133889999999901e+00,8.193223400000000822e+00,2.226813340000000085e+00,-2.714521939999999844e+01,-3.165371700000000033e+01,-2.644496979999999908e+01
3.630780549999999884e+00,8.192564270000000093e+00,2.226453900000000097e+00,-2.699498549999999852e+01,-3.153329120000000074e+01,-2.640412540000000163e+01
3.715352289999999780e+00,8.191874020000000201e+00,2.226077389999999934e+00,-2.684308509999999970e+01,-3.141068179999999899e+01,-2.636177890000000090e+01
3.801893960000000128e+00,8.191151250000000772e+00,2.225683089999999975e+00,-2.668955970000000022e+01,-3.128591199999999972e+01,-2.631789119999999826e+01
3.890451450000000033e+00,8.190394519999999901e+00,2.225270220000000077e+00,-2.653445100000000068e+01,-3.115900720000000135e+01,-2.627242299999999986e+01
3.981071710000000152e+00,8.189602309999999719e+00,2.224838000000000093e+00,-2.637780070000000165e+01,-3.102999459999999843e+01,-2.622533549999999991e+01
4.073802780000000290e+00,8.188773039999999170e+00,2.224385600000000185e+00,-2.621965110000000010e+01,-3.089890300000000067e+01,-2.617658989999999974e+01
4.168693829999999600e+00,8.187905049999999463e+00,2.223912149999999865e+00,-2.606004409999999893e+01,-3.076576289999999858e+01,-2.612614819999999938e+01
4.265795190000000403e+00,8.186996609999999563e+00,2.223416750000000164e+00,-2.589902179999999987e+01,-3.063060630000000018e+01,-2.607397269999999878e+01
4.365158319999999925e+00,8.186045930000000581e+00,2.222898450000000192e+00,-2.573662600000000111e+01,-3.049346669999999904e+01,-2.602002630000000138e+01
4.466835920000000293e+00,8.185051120000000680e+00,2.222356270000000134e+00,-2.557289869999999965e+01,-3.035437879999999922e+01,-2.596427279999999982e+01
4.570881899999999831e+00,8.184010199999999458e+00,2.221789189999999969e+00,-2.540788119999999850e+01,-3.021337859999999864e+01,-2.590667669999999845e+01
4.677351409999999987e+00,8.182921130000000431e+00,2.221196130000000046e+00,-2.524161480000000068e+01,-3.007050299999999865e+01,-2.584720349999999911e+01
4.786300920000000403e+00,8.181781750000000741e+00,2.220575999999999883e+00,-2.507414010000000104e+01,-2.992579010000000039e+01,-2.578581970000000112e+01
4.897788189999999986e+00,8.180589839999999668e+00,2.219927619999999990e+00,-2.490549779999999913e+01,-2.977927860000000138e+01,-2.572249319999999884e+01
5.011872340000000037e+00,8.179343039999999121e+00,2.219249790000000111e+00,-2.473572760000000059e+01,-2.963100800000000135e+01,-2.565719280000000069e+01
5.128613839999999868e+00,8.178038929999999596e+00,2.218541239999999970e+00,-2.456486909999999924e+01,-2.948101859999999874e+01,-2.558988899999999944e+01
5.248074599999999812e+00,8.176674950000000663e+00,2.217800679999999858e+00,-2.439296110000000084e+01,-2.932935110000000023e+01,-2.552055370000000067e+01
5.370317960000000390e+00,8.175248449999999778e+00,2.217026719999999784e+00,-2.422004189999999824e+01,-2.917604659999999939e+01,-2.544916020000000145e+01
5.495408740000000236e+00,8.173756649999999624e+00,2.216217949999999881e+00,-2.404614929999999973e+01,-2.902114660000000157e+01,-2.537568380000000090e+01
5.623413249999999586e+00,8.172196659999999113e+00,2.215372889999999817e+00,-2.387132030000000071e+01,-2.886469269999999909e+01,-2.530010139999999907e+01
5.754399369999999792e+00,8.170565460000000613e+00,2.214489990000000130e+00,-2.369559149999999903e+01,-2.870672670000000082e+01,-2.522239160000000169e+01
5.888436549999999770e+00,8.168859890000000235e+00,2.213567630000000008e+00,-2.351899870000000092e+01,-2.854729060000000018e+01,-2.514253529999999870e+01
6.025595860000000137e+00,8.167076679999999200e+00,2.212604160000000153e+00,-2.334157700000000091e+01,-2.838642610000000133e+01,-2.506051499999999876e+01
6.165950020000000364e+00,8.165212379999999825e+00,2.211597810000000219e+00,-2.316336090000000070e+01,-2.822417490000000129e+01,-2.497631570000000067e+01
6.309573440000000311e+00,8.163263419999999826e+00,2.210546780000000044e+00,-2.298438429999999855e+01,-2.806057859999999948e+01,-2.488992410000000177e+01
6.456542289999999795e+00,8.161226069999999666e+00,2.209449160000000134e+00,-2.280468019999999996e+01,-2.789567849999999893e+01,-2.480132950000000136e+01
6.606934479999999610e+00,8.159096419999999128e+00,2.208302989999999966e+00,-2.262428099999999986e+01,-2.772951550000000154e+01,-2.471052309999999963e+01
6.760829750000000082e+00,8.156870409999999794e+00,2.207106200000000129e+00,-2.244321869999999919e+01,-2.756213029999999975e+01,-2.461749839999999878e+01
